Date,Return daily_DGLD,Return daily_MDRX,Return daily_DOX,Return daily_EGHT,Return daily_CFFI,Return daily_JOBS,Return daily_FCCY,Return daily_CHRW,Return daily_TWOU,Return daily_CRMT,Return daily_INBK,Return daily_XLRN,Return daily_VNET,Return daily_QABA,Return daily_KOOL,Return daily_BCOM,Return daily_FLWS,Return daily_PLCE,Return daily_HTHT,Return daily_GOOG,Return daily_DJCO,Return daily_JRJC,Return daily_SRCE,Return daily_UHAL,Return daily_SATS,Return daily_HGSH,Return daily_IMOS,Return daily_FTLB,Return daily_WATT,Return daily_PIH,Return daily_BOSC,Return daily_AAON,Return daily_FOLD
2008-01-07,,-0.10195674562306901,-0.09022338265158107,0.1348314606741573,0.020495867768595074,0.015538290788013382,0.005624999999999991,-0.06467110125646712,,-0.07250996015936256,0.0,,,,-0.031645569620253194,-0.02391975308641979,-0.19931271477663232,-0.10991129965291174,,,0.0,-0.17123287671232879,-0.010398613518197559,-0.04598051157125472,,,-0.1314553990610328,,,,0.0,-0.07769929364278502,-0.014883720930232571
2008-01-08,,-0.13388259526261592,-0.10124746156077745,0.14606741573033707,0.047603305785124006,-0.030521642619311916,-0.04125000000000001,-0.12490761271249073,,-0.0916334661354582,0.0,,,,-0.11392405063291149,-0.05092592592592594,-0.2451317296678122,-0.14539143848823755,,,0.0,-0.19600456621004553,-0.09763142692085497,-0.08739342265529855,,,-0.15258215962441313,,,,0.0,-0.11503531786074678,-0.017674418604651118
2008-01-09,,-0.14407230196703869,-0.10438106439282556,0.0004952947003466517,-0.034653434152488914,-0.05698630136986297,0.01187500000000008,-0.07305319969159597,,-0.07993474714518764,-0.011029411764705909,,,,-0.1329479768786127,-0.014901960784313686,-0.15211970074812967,-0.11987127916331458,,,-0.05454545454545454,-0.12881355932203392,0.021871202916160352,-0.0007923930269414305,-0.01196686100030686,,-0.11707317073170721,,,,0.026315789473684237,-0.035143769968051124,0.044487427466150954
2008-01-10,,-0.10236653824986257,-0.005070086489710758,-0.01960784313725492,0.005937499999999929,-0.025274725274725324,-0.05249999999999999,-0.06775745909528398,,-0.08161582852431988,-0.007352941176470562,,,,0.16666666666666669,-0.03456538762725136,-0.12712975098296195,-0.21218400331537496,,,-0.024242424242424242,-0.04867256637168134,0.019300361881785303,0.08733127337778496,-0.12901408450704221,,-0.06410256410256411,,,,0.026315789473684237,-0.00333148250971695,0.060157790927021636
2008-01-11,,-0.08243320068220576,0.01692828562634648,-0.03921568627450984,0.0006216972334471874,-0.03720155469183796,-0.03312499999999996,-0.050430258154892854,,-0.06917164816396246,-0.007352941176470562,,,,0.28387096774193543,-0.04734970911441502,-0.07821229050279337,-0.2680501513186338,,,-0.024242424242424242,-0.025268817204301203,-0.013580246913580177,0.045938748335552684,-0.10921985815602842,,-0.027100271002710053,,,,0.07894736842105259,-0.04653802497162317,0.09235352532274078
2008-01-14,,-0.05963302752293593,0.04974489795918375,-0.01980198019801982,0.03628117913832191,-0.026229508196721332,-0.03666873834679925,-0.04464638482813114,,-0.05240549828178704,-0.007352941176470562,,,,0.3333333333333333,-0.05059288537549411,-0.01716738197424894,-0.2569324090121317,,,-0.04193939393939387,-0.008264462809917278,-0.03152364273204899,0.07660389403127989,-0.10491997628927097,,0.002702702702702645,,,,0.02105263157894739,-0.04266958424507664,0.029272898961284276
2008-01-15,,-0.04340071343638528,0.06488056810845712,0.07843137254901968,-0.019880088355948327,-0.015455065827132203,0.010430247718383322,0.009923986486486463,,-0.04210526315789477,-0.007352941176470562,,,,0.42857142857142866,-0.04390243902439032,0.03338391502276172,-0.2757220216606498,,,-0.04193939393939387,-0.07880164702541546,0.02368758002560826,0.10026693360026702,-0.06562500000000004,,-0.024930747922437636,,,,0.052631578947368474,-0.034207525655644125,-0.003787878787878875
2008-01-16,,0.03167701863354025,0.05384110308601446,0.05940594059405946,0.005218651375158709,0.025566531086577436,-0.04261890055589878,0.018922852983988284,,-0.03634751773049647,-0.014869888475836378,,,,0.3333333333333333,-0.03742038216560514,0.03823529411764703,-0.25182815356489935,,,0.013333333333333414,-0.1967759866592551,0.013674197384066613,0.07343378271213338,-0.08385093167701871,,-0.019337016574585714,,,,0.02051282051282053,-0.06567328918322303,-0.013888888888888921
2008-01-17,,-0.041079092581238395,-0.05305755395683452,0.1399999999999999,-0.0431811121466293,-0.07779030439684324,-0.06134564643799471,-0.021887259962833003,,-0.013464991023339349,-0.018518518518518517,,,,0.01020408163265307,-0.05423162402868125,0.015015015015014961,-0.1609679116254604,,,-0.01813664596273284,-0.3312661498708011,-0.034319526627218835,-0.017349685910858458,-0.06338939197930145,,-0.05479452054794513,,,,0.02051282051282053,-0.09972144846796653,-0.0009302325581395151
2008-01-18,,-0.024783147459727407,-0.041162227602905554,0.15306122448979584,-0.0431811121466293,0.0023068050749711156,-0.030381383322559834,0.023393045310853518,,0.010091743119266002,-0.018518518518518517,,,,-0.0753768844221105,0.019508057675996646,0.0212121212121213,-0.07501476668635555,,,0.09316770186335403,-0.3006067291781577,-0.02127659574468084,0.0566518141311267,-0.08407643312101902,,-0.044568245125348106,,,,-0.02926829268292675,-0.054761904761904755,-0.026363636363636287
